"SUBJECT","NUMBER","INSTRUCTOR","AP","A","AM","BP","B","BM","CP","C","CM","DP","D","DM","F","P","N","OTHER","W","TOT_NON_W"
"J","371.0","Russial, John ","0.0","6.0","15.0","5.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","32.0"
"J","371.0","Schual, Sierra Sky Lila Barnhart","0.0","12.0","9.0","6.0","8.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","39.0"
"J","371.0","Steffen, Susan Annette","0.0","2.0","5.0","7.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0"
"J","371.0","Tallmadge, Alice Jane","0.0","0.0","1.0","2.0","4.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","10.0"
"J","371.0","Wheeler, Thomas ","1.0","7.0","4.0","4.0","13.0","12.0","5.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","51.0"
"J","385.0","Bean, Matthew Paul","0.0","21.0","31.0","22.0","10.0","2.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","3.0","90.0"
"J","385.0","Birkinbine, Benjamin John","0.0","6.0","7.0","7.0","12.0","14.0","8.0","5.0","0.0","1.0","2.0","1.0","2.0","0.0","0.0","1.0","1.0","66.0"
"J","385.0","Dittmer, Jacob Peter","0.0","3.0","3.0","2.0","13.0","3.0","6.0","3.0","1.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","36.0"
"J","385.0","Gleason, Timothy W","6.0","179.0","155.0","137.0","179.0","153.0","63.0","65.0","9.0","6.0","4.0","4.0","22.0","16.0","8.0","3.0","49.0","1009.0"
"J","385.0","Youm, Kyuho ","3.0","10.0","25.0","17.0","47.0","51.0","22.0","49.0","20.0","5.0","9.0","4.0","7.0","17.0","16.0","0.0","59.0","302.0"
"J","387.0","Alilunas, Peter Kenneth","0.0","8.0","10.0","4.0","11.0","19.0","5.0","7.0","3.0","0.0","0.0","0.0","4.0","1.0","0.0","0.0","1.0","72.0"
"J","387.0","Bivins, Thomas Harvey","4.0","61.0","55.0","82.0","361.0","62.0","51.0","172.0","3.0","1.0","27.0","0.0","15.0","16.0","13.0","3.0","27.0","926.0"
"J","387.0","Bratslavsky, Lauren Michelle","5.0","6.0","10.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","4.0","28.0"
"J","387.0","Howe, Bethany Grace","1.0","11.0","3.0","2.0","3.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","25.0"
"J","387.0","McDaniel, Kyle R","5.0","31.0","24.0","35.0","26.0","14.0","14.0","6.0","2.0","4.0","2.0","1.0","5.0","3.0","1.0","0.0","13.0","173.0"
"J","387.0","Soderlund, Gretchen ","59.0","97.0","188.0","225.0","173.0","78.0","37.0","15.0","5.0","3.0","3.0","2.0","10.0","7.0","3.0","0.0","15.0","905.0"
"J","387.0","Staton, David Michael","0.0","4.0","22.0","17.0","15.0","8.0","4.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","73.0"
"J","387.0","Swartz, Jeremy David","0.0","4.0","9.0","7.0","14.0","12.0","7.0","7.0","4.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","3.0","66.0"
"J","387.0","Tucker, Staci Renee","3.0","21.0","1.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","1.0","31.0"
"J","387.0","Williams, Mara Corinne","0.0","2.0","6.0","6.0","3.0","6.0","6.0","3.0","3.0","0.0","0.0","0.0","2.0","2.0","0.0","0.0","2.0","39.0"
"J","396.0","Awino, Irene Dorothy","0.0","3.0","3.0","9.0","10.0","13.0","5.0","1.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","47.0"
"J","396.0","Erickson, Mary Paulette Adeline","0.0","14.0","42.0","47.0","42.0","29.0","14.0","12.0","5.0","1.0","3.0","0.0","4.0","0.0","0.0","0.0","5.0","213.0"
"J","396.0","Greene, Carlnita Peterson","7.0","23.0","67.0","26.0","20.0","6.0","2.0","2.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","2.0","154.0"
"J","396.0","Jones, Patrick Kerry","12.0","7.0","6.0","5.0","5.0","1.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.0"
"J","396.0","Lemke, Jeslyn M","1.0","6.0","3.0","1.0","1.0","2.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","2.0","18.0"
"J","396.0","Martinez, Gabriela ","0.0","7.0","116.0","161.0","133.0","75.0","21.0","7.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","3.0","9.0","527.0"
"J","396.0","Mokhtar, Shehram ","0.0","3.0","2.0","0.0","3.0","2.0","2.0","1.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","2.0","15.0"
"J","396.0","Ok, HyeRyoung ","17.0","38.0","95.0","107.0","126.0","108.0","34.0","17.0","11.0","3.0","1.0","2.0","6.0","0.0","0.0","0.0","10.0","565.0"
"J","396.0","Peake, Bryce Jon","0.0","7.0","5.0","8.0","3.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","3.0","26.0"
"J","396.0","Somaini, Francesco ","6.0","16.0","7.0","1.0","3.0","3.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.0"
"J","396.0","Sow, Fatoumata ","0.0","3.0","6.0","9.0","12.0","4.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","36.0"
"J","396.0","Swartz, Jeremy David","0.0","26.0","47.0","20.0","23.0","18.0","6.0","1.0","1.0","0.0","0.0","1.0","2.0","0.0","0.0","0.0","9.0","145.0"
"J","396.0","Wongphothiphan, Thipkanok ","1.0","3.0","0.0","3.0","5.0","2.0","1.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.0"
"J","396.0","Workneh, Tewodros Workalemahu","0.0","14.0","43.0","66.0","87.0","54.0","35.0","40.0","11.0","4.0","2.0","0.0","5.0","0.0","0.0","0.0","14.0","361.0"
